Date,1615.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T
2008-07-03,181.3728485107422,13297.7001953125,12794.9306640625,9357.51953125,11135.9892578125,10344.4677734375,10601.865234375,20577.65234375,17820.5625,12437.08203125
2008-07-04,180.3727264404297,13150.052734375,12671.64453125,9399.2666015625,11136.2265625,10207.7529296875,10647.33203125,20888.423828125,17960.650390625,12526.712890625
2008-07-07,186.25506591796875,13193.18359375,12776.513671875,9563.34765625,11158.96484375,10394.2021484375,10766.3857421875,21064.783203125,18159.982421875,12588.0283203125
2008-07-08,180.19500732421875,13000.248046875,12296.15625,9248.6162109375,10919.0576171875,10292.205078125,10626.2587890625,20332.904296875,17456.501953125,12309.1669921875
2008-07-09,183.51788330078125,12971.517578125,12071.5458984375,9250.3916015625,10910.9755859375,10401.1201171875,10685.751953125,20443.23828125,17400.759765625,12260.4091796875
2008-07-10,188.45274353027344,13004.791015625,11898.5791015625,9288.65625,10892.7509765625,10453.0107421875,10745.37890625,20867.7890625,17364.099609375,12166.5302734375
2008-07-11,188.4593048095703,12907.2060546875,12079.2021484375,9192.361328125,10815.10546875,10337.4814453125,10607.4228515625,20985.076171875,17311.623046875,12179.7802734375
2008-07-14,186.97225952148438,12952.0322265625,12036.2939453125,9224.1640625,10744.6708984375,10014.90234375,10437.6845703125,21527.70703125,17474.0703125,12132.49609375
2008-07-15,176.47088623046875,12775.26953125,11908.5146484375,8995.5927734375,10549.8427734375,9881.53125,10197.6142578125,21004.806640625,17081.185546875,11808.25390625
2008-07-16,177.45785522460938,12951.4921875,11611.376953125,8941.8076171875,10540.810546875,9922.197265625,10142.7978515625,20640.833984375,17075.55859375,11804.09765625
2008-07-17,182.28741455078125,13052.7744140625,11471.82421875,9102.59375,10629.9443359375,9885.099609375,10187.0458984375,21124.875,17424.7890625,11927.9384765625
2008-07-18,181.60313415527344,13059.3984375,11283.794921875,8952.1337890625,10632.2421875,9837.4462890625,10157.8388671875,20836.80078125,17344.099609375,11762.5263671875
2008-07-22,187.39996337890625,13378.572265625,11718.2685546875,9149.0927734375,10883.4814453125,9984.572265625,10630.93359375,21576.24609375,17906.1953125,12076.2021484375
2008-07-23,192.36769104003906,13533.69140625,11535.8095703125,9304.494140625,11076.6455078125,10117.4228515625,10683.650390625,21950.32421875,18260.373046875,12179.0869140625
2008-07-24,195.42074584960938,13726.783203125,11367.9677734375,9502.97265625,11374.392578125,10320.232421875,11083.904296875,22175.400390625,18667.857421875,12534.7685546875
2008-07-25,185.551025390625,13694.431640625,11281.6416015625,9277.94921875,11129.8876953125,10298.748046875,10782.10546875,21370.111328125,18238.775390625,12163.5849609375
2008-07-28,185.89976501464844,13885.9072265625,11493.02734375,9300.947265625,11104.2177734375,10287.595703125,10669.35546875,21395.408203125,18028.18359375,12101.232421875
2008-07-29,182.62960815429688,13839.697265625,11411.2568359375,9157.1376953125,10894.8115234375,10190.578125,10401.771484375,21120.9453125,17611.421875,11852.3359375
2008-07-30,186.41958618164062,14097.0224609375,11379.2333984375,9341.111328125,11097.0869140625,10541.4794921875,10418.5087890625,21648.26171875,17583.431640625,11960.0712890625
2008-07-31,185.54441833496094,14400.6357421875,11632.830078125,9350.548828125,11203.333984375,10772.3154296875,10216.8583984375,21779.23046875,17245.3828125,11979.5546875
2008-08-01,177.4315185546875,14391.625,11062.474609375,8936.232421875,11026.4921875,10686.0029296875,10054.7099609375,21090.078125,16544.4140625,11734.81640625
2008-08-04,170.84512329101562,14375.6787109375,10801.220703125,8672.2451171875,10726.4462890625,10909.6279296875,9640.1591796875,19767.09765625,16018.6650390625,11494.9248046875
2008-08-05,172.8388214111328,14274.4755859375,10698.8212890625,8579.373046875,10765.2705078125,11036.087890625,9704.2587890625,19013.072265625,15877.0576171875,11589.755859375
2008-08-06,174.0363311767578,14364.0537109375,10977.9228515625,8998.0625,11086.705078125,11031.849609375,10069.685546875,19776.357421875,16570.57421875,12049.009765625
2008-08-07,167.60125732421875,14125.443359375,11254.4306640625,8859.3876953125,10958.5126953125,11049.6923828125,10013.919921875,19626.9921875,16433.98046875,11977.736328125
2008-08-08,164.90353393554688,14250.5224609375,11207.5947265625,8982.6044921875,10892.0390625,11046.123046875,10223.294921875,19671.533203125,16555.1328125,12015.234375
2008-08-11,168.25926208496094,14254.6826171875,11179.8759765625,9161.2568359375,11186.537109375,11032.7412109375,10623.07421875,19968.93359375,16793.482421875,12342.8564453125
2008-08-12,168.89747619628906,14014.0673828125,11289.6826171875,9016.8154296875,10983.7880859375,11091.5478515625,10593.3955078125,19213.212890625,16414.974609375,12245.16796875
2008-08-13,162.7716827392578,13937.8994140625,10961.974609375,8805.537109375,10794.5849609375,11062.849609375,10505.2412109375,19107.482421875,16076.46484375,11984.6630859375
2008-08-14,159.0146026611328,13841.078125,11020.7060546875,8727.044921875,10793.16015625,11037.7216796875,10374.5341796875,19376.1328125,16122.85546875,11914.77734375
2008-08-15,160.4818878173828,13881.2880859375,11123.8671875,8815.736328125,10871.9150390625,10974.53125,10580.3173828125,19278.087890625,16246.1376953125,12089.8017578125
2008-08-18,164.3705596923828,14038.7939453125,11337.90625,8922.9912109375,11054.4609375,10974.4580078125,10660.4775390625,19822.65625,16572.404296875,12194.9375
2008-08-19,160.72537231445312,13826.29296875,11215.3173828125,8727.8056640625,10841.568359375,10801.0869140625,10346.07421875,19270.103515625,16166.8134765625,11861.16796875
2008-08-20,159.70547485351562,14036.328125,11343.22265625,8736.5458984375,10873.8935546875,10733.0625,10206.3544921875,19323.66015625,16254.654296875,11722.689453125
2008-08-21,157.9091796875,13941.748046875,11533.21484375,8718.8095703125,10842.203125,10634.927734375,10117.3203125,19486.82421875,16215.8701171875,11592.78515625
2008-08-22,154.59295654296875,13857.48828125,11503.3427734375,8654.76171875,10694.12109375,10761.4619140625,9982.275390625,19130.6015625,15930.2919921875,11511.2919921875
2008-08-25,160.3502960205078,14055.6630859375,11392.525390625,8821.5654296875,10859.474609375,10896.0986328125,10298.1015625,19356.947265625,16185.064453125,11745.12109375
2008-08-26,158.35662841796875,13918.94921875,11305.123046875,8813.265625,10830.1591796875,10783.169921875,10327.5087890625,19204.861328125,16061.78515625,11643.3623046875
2008-08-27,157.06698608398438,14042.259765625,11403.283203125,8744.8486328125,10839.1123046875,10968.5087890625,10084.05078125,19084.7265625,15778.0380859375,11578.2353515625
2008-08-28,155.76414489746094,14135.994140625,11482.392578125,8760.748046875,10842.9140625,10958.17578125,10066.365234375,18948.314453125,15534.671875,11480.98046875
2008-08-29,161.81759643554688,14433.6806640625,11847.7578125,9002.9404296875,10953.99609375,11159.4970703125,10382.1220703125,19709.603515625,15997.978515625,11747.45703125
2008-09-01,158.0868377685547,14240.1259765625,11434.546875,8796.09765625,10739.3603515625,11003.1533203125,10088.3876953125,19318.03515625,15908.1650390625,11487.4755859375
2008-09-02,155.38909912109375,14049.0390625,10886.2802734375,8590.6494140625,10585.3369140625,10799.228515625,9916.2119140625,19298.0625,15506.9130859375,11314.8779296875
2008-09-03,156.020751953125,14416.5009765625,10646.1640625,8600.9130859375,10634.77734375,11021.73828125,10172.8154296875,18709.80078125,15263.31640625,11371.7744140625
2008-09-04,150.90826416015625,14377.607421875,10429.33984375,8364.6748046875,10557.0517578125,10933.716796875,10230.2744140625,18128.919921875,14822.5966796875,11232.86328125
2008-09-05,144.05206298828125,14003.9033203125,10369.2158203125,8164.23193359375,10325.541015625,10694.923828125,10022.9306640625,17573.646484375,14460.44140625,10907.4072265625
2008-09-08,161.2912139892578,14097.7919921875,10698.1884765625,8545.7958984375,10564.18359375,10701.615234375,10327.5751953125,18557.16796875,15040.638671875,11217.880859375
2008-09-09,158.56716918945312,14041.951171875,10347.318359375,8356.1865234375,10425.5302734375,10706.521484375,10151.8759765625,17778.80859375,14533.9052734375,10973.5712890625
2008-09-10,163.1664581298828,14017.23046875,10074.9248046875,8327.8046875,10351.4501953125,10693.06640625,10262.7998046875,17298.275390625,14273.1201171875,10781.3134765625
2008-09-11,154.9811553955078,13701.0595703125,9910.1875,8202.3056640625,10154.87890625,10483.2685546875,10022.1201171875,16881.103515625,13785.703125,10498.294921875
2008-09-12,161.78472900390625,13599.544921875,10161.630859375,8352.447265625,10203.7646484375,10500.8134765625,9925.833984375,17390.447265625,14212.5087890625,10565.498046875
2008-09-16,148.7698211669922,13068.48828125,9438.6240234375,7944.65478515625,9885.099609375,10096.9052734375,9583.0380859375,16268.3359375,13595.271484375,10034.7080078125
2008-09-17,148.4013214111328,13426.171875,9517.9873046875,7986.0234375,9936.5205078125,10291.685546875,9517.24609375,16195.70703125,13676.2666015625,10094.63671875
2008-09-18,144.70347595214844,13333.0517578125,9411.412109375,7950.48291015625,9819.65625,10031.03515625,9257.7939453125,15795.9091796875,13397.30859375,9870.595703125
2008-09-19,159.92262268066406,13262.9638671875,9878.09765625,8323.2431640625,10058.8515625,9958.3291015625,9734.412109375,16794.86328125,14457.9296875,10320.0654296875
