Date,1,2,3,4,5,6,7,8,9,10,11,12
1937-01-01,2.51,7.27,5.14,2.41,2.76,10.24,-0.85,2.61,0.08,3.47,0.48,1.26
1937-02-01,0.89,-0.51,4.29,1.35,-0.89,-1.56,-3.06,-4.21,3.01,-3.73,-0.39,6.46
1937-03-01,-1.01,-4.13,2.74,3.52,-2.02,-4.74,-2.1,-6.32,-2.68,-5.03,-3.64,4.58
1937-04-01,-6.39,-7.91,-11.24,-5.31,-4.08,-7.79,-5.25,-7.48,-7.26,-3.32,-6.88,-6.84
1937-05-01,-0.45,-1.99,1.09,-0.22,1.69,-0.56,1.53,-5.3,-4.55,1.68,-3.28,-3.34
1937-06-01,-3.26,-10.77,-3.66,-2.68,-3.16,-1.81,1.42,-5.27,-1.59,-4.13,-5.01,-10.13
1937-07-01,5.07,13.23,10.73,8.42,5.42,10.27,3.27,19.33,10.34,4.14,16.25,6.3
1937-08-01,-2.48,-2.38,-4.75,-6.59,-3.03,-5.81,-2.54,-10.2,-4.27,1.1,-15.08,-5.97
1937-09-01,-9.14,-12.68,-20.4,-13.14,-9.61,-15.45,-2.1,-11.76,-14.14,-10.8,-14.64,-16.36
1937-10-01,-7.06,-12.89,-14.64,-6.96,-11.38,-7.7,-5.36,-4.8,-6.93,-3.55,-8.36,-10.48
1937-11-01,-5.88,-15.63,-9.22,-11.56,-9.38,-3.76,-3.59,2.96,-14.42,-5.13,-7.25,-6.63
1937-12-01,-2.32,-16.33,-3.46,-1.25,0.4,-3.57,-1.55,-10.73,-6.75,-2.41,-7.32,-6.69
1938-01-01,2.84,11.05,-1.35,0.48,-1.0,-2.74,-2.43,-5.72,5.99,3.51,-0.28,0.74
1938-02-01,3.54,3.48,8.77,9.48,7.39,5.39,-2.32,3.63,9.52,8.62,6.7,4.32
1938-03-01,-15.99,-27.35,-27.41,-25.5,-22.31,-28.96,-17.67,-19.66,-22.4,-14.54,-25.54,-31.71
1938-04-01,12.37,14.85,17.54,16.31,8.23,16.0,13.47,14.78,16.34,11.82,16.72,13.85
1938-05-01,-0.25,-7.01,-8.54,-5.91,-3.27,-3.16,0.83,2.15,-3.9,1.7,-5.15,-3.48
1938-06-01,13.24,36.03,35.01,22.03,27.61,29.04,12.57,16.95,24.1,10.09,26.63,24.52
1938-07-01,6.62,19.89,6.93,7.35,6.29,6.1,1.28,0.67,9.07,5.8,8.87,10.39
